row,id,prompt,answer,label_json
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': ""I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't."", 'Code': 'Informed Consent Statement', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Informed']}, {'Original_Text': 'Alright.', 'Code': 'Agreement', 'Topic': '', 'Keywords': []}, {'Original_Text': 'Okay', 'Code': 'Agreement', 'Topic': '', 'Keywords': []}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah, I agree.', 'Code': 'Confirmed Interviewer Requirements', 'Topic': 'Meeting Requirements', 'Keywords': ['Agree']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Informed Consent Accepted', 'Topic': 'Consent Questions', 'Keywords': ['Consent', 'Agreement']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree.', 'Code': 'Agreeing to the Terms', 'Topic': 'Agreement', 'Keywords': ['Agree', 'Terms']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agree', 'Topic': 'Agreement', 'Keywords': ['Agree']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.', 'Code': 'Interview Information', 'Topic': 'Interview Info', 'Keywords': ['Quote', 'Permission']}, {'Original_Text': 'I agree.', 'Code': 'Agree', 'Topic': 'Consent', 'Keywords': ['Agree']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'Yeah, I agree', 'Code': '', 'Topic': '', 'Keywords': []}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': 'I know my wife is involved as well', 'Code': 'My Wife is involved as well', 'Topic': 'Partner', 'Keywords': ['Wives', 'Involvement']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': '', 'Code': '', 'Topic': '', 'Keywords': []}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': '2 Set of Twins', 'Topic': 'Numbers of Children', 'Keywords': ['Number', 'Twins']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'I confirm that I have read the information sheet for this study', 'Code': '', 'Topic': '', 'Keywords': ['read information sheet', 'understanding research']}, {'Original_Text': ""I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily."", 'Code': '', 'Topic': '', 'Keywords': ['consider questions', 'ask questions', 'information answered']}, {'Original_Text': 'And now I agree to participate and will commit to answering questions.', 'Code': '', 'Topic': '', 'Keywords': []}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'I Agree', 'Topic': 'Understanding of Experiment Guidelines', 'Keywords': ['Agreement']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I give permission for these individuals to have access to this information.', 'Code': 'Permission to share', 'Topic': 'Sharing Information', 'Keywords': ['Permission', 'other researchers', 'Newcastle University']}, {'Original_Text': 'I agree', 'Code': 'Agree', 'Topic': 'Sharing Information', 'Keywords': ['I', 'agree']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agreement to Sharing', 'Topic': 'Sharing', 'Keywords': ['Agreement']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreement', 'Topic': 'Agreement', 'Keywords': ['Agreement']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': ' And I agree to take part in this study.', 'Code': 'Subject Agree', 'Topic': 'Study Agreement', 'Keywords': ['Participate', 'Study']}, {'Original_Text': ' Yeah, I agree.', 'Code': 'Subject Agree', 'Topic': 'Study Agreement', 'Keywords': ['Participate', 'Study']}]"
