,prompt,answer
0,"Alright so what we'll start with is I'm going to read you a series of statements. That are. It's a consent process. So it's basically just making sure that you understand what we're doing and that we have your permission for you to take part in the study. So I'm going to read you each of these statements and I'll just ask that you say either yes or I agree, or no, I don't agree to each one.",All right.
1,"Okay, yeah. Alright, so the first one I confirm that I've read the information sheet for this study. I've had the opportunity to consider the information to ask questions and have had these questions answered satisfactorily.",Yes.
2,"All right, I understand my participation is voluntary, and that I am free to withdraw it anytime without giving any reason. I also understand that I can decline to answer any questions during the interview.",Yes.
3,I understand that information collected during my interview may be looked at by other researchers from Newcastle University. Who are working on or assisting with the study I give permission for these individuals to have access to this information.,Yeah.
4,I understand that information collected during the interview may be shared with other researchers for use in future research or teaching purposes that the data will be thoroughly anonymized first,Yeah.
5,I understand that the interview will be audio video recorded according to my preference typed out and that all my identifying personal details will be removed.,Yes.
6,"I understand the direct quotations may be taken from what I say and used in future research and publications, but I will not be identifiable from these quotations.","Yeah,"
7,I agree to take part in this study.,"Yes, I agree."
8,"Excellent. There's just two other things. If you'd like to receive a copy of the research findings. When the study is completed. You can either let me know now, or email me after the fact and I'd be happy to send those to you.",Oh yes please. That sounds interesting that would be good.
9,"Yeah, absolutely. So the study will be completed. Towards the end of August, so you can expect to see that to your email address around that time. Yeah. And if you'd like to receive a hard copy of the study documents you can let me know. Now I would mail those to you, but I would need your mailing address to do that.",And I think just an email. Will it be the same by email?
10,"Alright, so that's all that out of the way so we can go ahead and get started here. And you have two children. Is that right?",I do. Yeah.
11,Yeah. And how old are they?,They are two and five.
12,"Yeah. Um, so the five year old has started school then right?",She has yeah she started last September.
13,"Yeah, how was how was she liking it?","Um yeah, it took her a few weeks to um, before she settled. Now obviously she's still off and has been for a few months. And I think she'll be okay when she goes back."
