,prompt,answer
0,"So the first thing that I will do is I'm going to read you an informed consent sheet and I'll just have you agree or don't agree to a series of statements. If You agree you can just say, Yes, that's fine, or whatever.","Okay, my internet connections been a bit jumpy this morning. So if I freeze or you freeze, so I might just ask you to repeat stuff."
1,"Yeah. Yeah, not, not a problem at all. So the first statement I confirm that I have read the information sheet for this study. I've had the opportunity to consider this information asked questions and have these questions answered satisfactorily.",Yes.
2,"I understand that my participation is voluntary, and then I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",Yeah.
3,I Understand the information collected during my interview will be looked at by other researchers from Newcastle University who are working on or assisting with the study and I give permission for these individuals to have access to that information.,Yes.
4,I understand that information collected during the interview may be shared with other researchers for use in future research or teaching purposes and that the data will be thoroughly anonymized first,Yeah.
5,"I understand that the interview will be audio video recorded, typed out and all identifying personal details will be removed.",Yeah
6,"I Understand that direct quotations may be taken from what I say and used in research and publications, but that I will not be identifiable from these quotation.",Yes
7,I agree to take part in this study.,I do
8,"And if you'd like to receive a copy of the research findings, you can tell me now and I'll send those to you have",That would be great. Yeah. Thank you.
9,Yeah. And would you like to receive a hard copy of the study documents? I can mail them to you.,"Thats fine, yeah, no need."
10,"All right. And can you just say your name for me. And today's date, please. It's 18 June.",Participant 04 and and it's the 18th of June 2020.
11,"Yeah, that's the hardest question I asked in the interview, that's what today's date is I really like to put people on the spot with that.","Thankfully, just tells me in the bottom corner of my screen. Because if not I wouldn't know."
12,"Um, alright, so that's that out of the way so we can go ahead and get started. So you have two children. Right? You said they are two and five years old?",Yeah.
13,"Two Boys. and has the five year old. Like, would the five year old be in school yet or not yet?","Yes. Yeah, so he's in year one at the moment. Yeah, so he's in his second year at school, really."
14,"Okay. And neither of them had the flu vaccine. This year, right?","Um, you know what the five year old. I think did, does that mean-- yeah I thought about that this morning. I think he had the spray before the end of last calendar year."
15,"Yeah, well, they, they do it in school. So a lot of the kids who are, you know, once they've started school, it becomes sometimes a little easier to have them vaccinated right there in the school, but the younger the two year old has not had it that you know of?","Yeah, he definitely definitely hasn't no."
16,"Okay, what, what's his name, the younger one?",The younger one is [Younger Child]
17,[Younger Child] and the older?,Is [Older Child].
18,"[Older Child]. So, what do they get up to these days? Are they, you know, hows everyone doing?","You know, [Older Child]'s discovered Roblox, which is a, I don't know if you know it's a game basically on the iPad so he's he's six on the sixth of July. He's getting a Nintendo Switch for his-- I should see that really quietly. But he's yeah, he'se into, getting into all of that, which is a lot younger than I would have thought and maybe hoped and all but. He also, I mean in the minute He's missing his friends, you know, he loves to play with his friends. Either [inaudible]. He's you know he's one of these people here he is a bit of a rebel at home, but at school he likes structure and he listens to what other people tell him to."
19,He behaves for everyone else.,"Exactly. But he's the first child. So, he spoiled. So really, we've created the monster that we live with. You reap what you sow is what they say and thats true with [Older Child]. [Younger Child] is a lot more crazy than [Older Child] was sauce as a toddler, super strong willed, loves to play, but is also very affectionate and actually they're both really affectionate boys. But being stuck in lockdown. They've been fighting a lot"
20,Yeah.,"Proper wrestle fighting now. You know he'd be three in September, but he's tough. He thinks he's five"
21,"Yeah, yeah, I cannot imagine. I had two brothers growing up and I cannot imagine what we would have put my mother through if we'd been on lockdown with all of us, so I'm impressed by your by your persistence or determination or whatever it is.","No choice, no choice in the matter."
22,Yeah that’s true. Your ability to cope then.,"Yeah, wine. That's what, that's what parents are doing at the minute to get through."
23,"Yeah, absolutely. I, you know, you're certainly not alone in that that's already a theme I've seen in these interviews, a lot of rambunctious children at home. For the most part they do well?","I just think I just block out the craziness and just try and enjoy the, the really funny stuff that kids come out with things that they see. I just, yeah. Hilarious. So"
24,"No, that's, I think, that's nice. I mean, whatever, whatever you've got to do to to get through. Right.",Yeah.
25,So can you tell me what you know about the flu. Just like in general kind of first first thoughts about the flu.,"That it's possibly rarer than people think. So most people when they're ill think that they've got the flu when actually they we maybe haven't. Typically the flu would absolutely floor you, you know, you'd be incredibly sick high temperature in bed feeling really lethargic aches, pains, that kind of thing. And the different strands each year. So it's something which changes therefore is hard. When it comes to things like vaccines to be absolutely sure you know that you're, yeah you don't get the vaccine and then you're completely immune from getting flu. and obviously if you're healthy, you're going to cope a lot better than if you're if you're ill, or if you're immunocompromised and yeah that's you know when it's dangerous to get it so that kind of things. I think of immediately."
