,prompt,answer
0,"Alright, so we can go ahead and get started with a consent sheet. So I'm going to read you a series of statements and I'll just have you answer either yes or no to each of these","Okay,"
1,"so it does get a little bit repetitive towards the end. But, you know, here we are. All right, so the first one I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information to ask questions and I've had these questions answered satisfactorily.",Yes.
2,"I understand that my participation is voluntary, and then I am free to withdraw it anytime without giving any reason. I also understand that I can decline to answer any questions during the interview.","Yes,"
3,I understand that information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with the study and give permission for these individuals to have access to this information.,Yes.
4,I understand that information collected during the interview may be shared with other researchers for use in future research or teaching purposes that the data will be thoroughly anonymized first.,Yeah.
5,I understand that the interview will be audio video recorded according to my preference typed out and that all identifying personal details will be removed.,Yeah
6,"I understand that direct quotations may be taken from what I say and used in research or publications, but that I will not be identifiable from these quotations.",Yes
7,I agree to take part in this study.,Yes
8,"Excellent. And then there's just two other things here. If you'd like to receive a copy of the research findings. You can either tell me that. Now, or you can email me after our interview if you'd like to get a summary at the end of the study.",That's great. Yeah.
9,"Yeah, absolutely. So I can send those to your email address that we corresponded on once I finish my dissertation, so towards the end of August,  you can expect to see that. Yeah, um, and if you'd like to receive a hard copy of the study documents I can mail you those.","No, don't worry. Soft copies of things is fine."
10,"Um, so that's out of the way we can move on to some of the questions here. So can you tell me a little bit about your child. Like, how old are they? You said he, right?","Yeah, he’s [Child]. He's coming up to two and a half in two weeks. He was born in January 2018. He's obviously currently mainly at home, he's back at nursery two days a week now."
11,"Yeah. How is he doing at home? or maybe the better question is, how are you doing with having him at home?","Yeah, you know, it took a few weeks to, to shake down into a routine. I've been splitting childcare with my husband, he's also working from home. So it's taken a while to get used to. But we were all fine. And I think the university has been pretty good in terms accomodating."
12,"Yeah, its nice to hear that.","And then obviously He's back in nursery two days, which he's loving. But coming back very tired. So that's changed the dynamic a bit again. But no, it's been okay."
13,"Yeah, I'm sure it's nice to have him back at nursery, just so that he can see some other faces and interact with some other people.","Yeah, he loves other children."
14,"Yeah. Um, so he's your only child. Is that right? yeah.","Yeah, that's right."
15,"Okay. Um, so, and what's his name again?",[Child].
16,"[Child], right sorry I know you said that.","Thats okay, don't worry."
17,So can you tell me a little bit about what you know about the flu? Just sort of your first impressions when you hear the word flu?,"Hmm. Um, I guess. I mean, I've had the flu, maybe twice in my life as a teenager and as a fresher. Both times were horrendous not, not something I would ever wish on anyone and I know that it can be more dangerous that folder people pregnant women, children. I used to get given a flu vaccine when I worked for a private company. They used to pay for staff to have them. And I've always thought that was a really good idea because it's just an unpleasant illness. It's preventable obviously. I guess the vaccine depends on whether they've identified the most virulent strain that year. And there are other strains and things going around. So it's not foolproof. But yeah, just what I know about it is that flu is pretty contagious, pretty unpleasant illness I guess that affects people globally."
